A_1,A_2,A_3,B_1,B_2,B_3,X_1,X_2,X_3,E_g,HTL,ETL,Voc(volts) ,Jsc,Max PCE,A,B,X
FA/0.83,Cs/0.17,,Pb/1,,,I/0.6,Br/0.4,,,spiro-OMeTAD,Doped c60,1.06,22.1,16.8,Al/MA,Pb,I
MA/1.0,,,Pb/1,,,I/1.0,,,,spiro-OMeTAD,glass,0.88,18.42,7.5,FA/Cs,Pb,I/Br
MA/1.0,,,Pb/1,,,I/0.97,Br/0.03,,,spiro-OMeTAD,glass,0.97,18.96,11.2,MA,Pb,I
MA/1.0,,,Pb/1,,,I/0.89,Br/0.11,,,spiro-OMeTAD,glass,1.01,22.38,15.8,MA,Pb,I/Br
MA/1.0,,,Pb/1,,,I/0.80,Br/0.20,,,spiro-OMeTAD,glass,1.09,19.86,13.8,MA,Pb,I/Br
MA/1.0,,,Pb/1,,,I/0.71,Br/0.29,,,spiro-OMeTAD,glass,0.92,13.54,4.6,MA,Pb,I/Br
FA/0.95,Ma/0.05,,Pb/1,,,I/0.95,Br/0.05,,,spiro-OMeTAD,TiO2,0.98,21.67,10.1,MA,Pb,I/Br
FA/0.85,Ma/0.15,,Pb/1,,,I/0.85,Br/0.15,,,spiro-OMeTAD,TiO2,1.11,23.93,10.9,FA/MA,Pb,I/Br
FA/0.85,Ma/0.15,,Pb/1,,,I/0.85,Br/0.15,,,spiro-OMeTAD,SnOx,0.4,0.52,0.1,FA/MA,Pb,I/Br
MA/1,,,Pb/1,,,I/1.0,,,,spiro-OMeTAD,TiO2,0.802,8.49,3.38,FA/MA,Pb,I/Br
MA/0.95,Cs/0.05,,Pb/1,,,I/1.0,,,,spiro-OMeTAD,TiO2,0.862,13.5,6.59,MA,Pb,I
MA/1.0,,,Pb/0.97,Sn/0.03,,I/2.94,Br/0.06,,,spiro-OMeTAD,TiO2,0.826,11.1,5.24,MA/Cs,Pb,I
MA/1.0,,,PB/0.95,Sn/0.05,,I/2.90,Br/0.10,,,spiro-OMeTAD,TiO2,0.904,14.1,7.59,MA,Pb/Sn,I/Br
MA/1.0,,,PB/0.90,Sn/0.10,,I/2.80,Br/0.20,,,spiro-OMeTAD,TiO2,0.848,9.68,4.74,MA,Pb/Sn,I/Br
Ma/0.95,Cs/0.05,,Pb/0.95,Sn/0.05,,I/2.90,Br/0.10,,,spiro-OMeTAD,TiO2,0.867,13,8.25,MA,Pb/Sn,I/Br
MA/0.90,Cs/0.10,,Pb/0.90,Sn/0.10,,I/2.80,Br/0.20,,,spiro-OMeTAD,TiO2,0.85,12.6,6.5,MA/Cs,Pb/Sn,I/Br
Ma/0.95,Cs/0.05,,Pb/0.95,Sn/0.05,,I/2.85,Br/0.15,,,spiro-OMeTAD,TiO2,0.85,12.6,6.5,MA/Cs,Pb/Sn,I/Br
MA/0.90,Cs/0.10,,Pb/0.90,Sn/0.10,,I/2.70,Br/0.30,,,spiro-OMeTAD,TiO2,0.8,11.5,5.94,MA/Cs,Pb/Sn,I/Br
FA/0.89,MA/.11,,Pb/1.0,,,I/0.89,Br/0.11,,,spiro-OMeTAD,Nb-doped TiO2,1.018,23.4,17.8,MA/Cs,Pb/Sn,I/Br
FA/0.84,MA/0.16,,Pb/1.0,,,I/0.84,Br/0.16,,,spiro-OMeTAD,Nb-doped TiO2,1.044,23.2,18.3,FA/MA,Pb,I/Br
Fa/0.78,Ma/0.22,,Pb/1.0,,,I/0.78,Br/0.22,,,spiro-OMeTAD,Nb-doped TiO2,1.004,23.6,17,FA/MA,Pb,I/Br
Fa/0.34,MA/0.66,,Pb/1.0,,,I/0.34,Br/0.66,,,spiro-OMeTAD,Nb-doped TiO2,0.972,22.3,15.9,FA/MA,Pb,I/Br
FA/0.67,MA/0.33,,Pb/1.0,,,I/0.67,Br/0.33,,,spiro-OMeTAD,Nb-doped TiO2,0.96,22,14.9,FA/MA,Pb,I/Br
MA/1.0,,,Pb/1.0,,,I/1.0,,,,Spiro-OMeTAD,TiO2,1,22.6,14.5,FA/MA,Pb,I/Br
MA/0.95,Cs/0.05,,Pb/1.0,,,I/0.95,Br/0.05,,,Spiro-OMeTAD,TiO2,1.02,22.3,14.9,MA,Pb,I
MA/0.9,Cs/0.1,,Pb/1.0,,,I/0.9,Br/0.10,,,Spiro-OMeTAD,TiO2,1.07,20.9,15.9,MA/Cs,Pb,I/Br
MA/0.80,Cs/0.2,,Pb/1.0,,,I/0.80,Br/0.20,,,Spiro-OMeTAD,TiO2,1.06,17.2,12.7,MA/Cs,Pb,I/Br
FA/1.0,,,Pb/1.0,,,I/1.0,,,1.49,spiro-OMeTAD,Doped c60,0.94,23.33,14.57,MA/Cs,Pb,I/Br
FA/0.90,Ma/0.10,,Pb/1.0,,,I/1.0,,,1.53,spiro-OMeTAD,Doped c60,0.97,23.14,15.27,FA,Pb,I
FA/0.80,Ma/0.20,,Pb/1.0,,,I/1.0,,,1.54,spiro-OMeTAD,Doped c60,0.99,22.87,15.58,FA/MA,Pb,I
FA/0.70,Ma/0.30,,Pb/1.0,,,I/1.0,,,1.55,spiro-OMeTAD,Doped c60,0.99,22.63,15.78,FA/MA,Pb,I
FA/0.60,Ma/0.40,,Pb/1.0,,,I/1.0,,,1.55,spiro-OMeTAD,Doped c60,1,22.51,16.48,FA/MA,Pb,I
FA/0.50,Ma/0.50,,Pb/1.0,,,I/1.0,,,1.56,spiro-OMeTAD,Doped c60,0.98,22.64,15.67,FA/MA,Pb,I
FA/0.90,Cs/0.10,,Pb/1.0,,,I/1.0,,,,spiro-OMeTAD,TiO2,0.9439,22.46,13.97,FA/MA,Pb,I
FA/0.90,Cs/0.10,,Pb/1.0,,,I/0.975,SCN/0.025,,,spiro-OMeTAD,TiO2,0.9984,21.26,15.64,FA/Cs,Pb,I
FA/0.90,Cs/0.10,,Pb/1.0,,,I/0.95,SCN/0.05,,,spiro-OMeTAD,TiO2,0.9946,22.05,16.2,FA/Cs,Pb,I/SCN
FA/0.90,Cs/0.10,,Pb/1.0,,,I/0.925,SCN/0.075,,,spiro-OMeTAD,TiO2,0.9847,20.06,13.72,FA/Cs,Pb,I/SCN
FA/0.90,Cs/0.10,,Pb/1.0,,,I/0.90,SCN/0.1,,,spiro-OMeTAD,TiO2,0.9551,19.6,11.01,FA/Cs,Pb,I/SCN
FA/1.0,,,Pb/1.0,,,I/0.9625,SCN/0.0375,,,spiro-OMeTAD,TiO2,0.84,15.9,8.8,FA/Cs,Pb,I/SCN
FA/0.95,Cs/0.05,,Pb/1.0,,,I/0.9625,SCN/0.0376,,,spiro-OMeTAD,TiO2,0.89,18.1,10.5,FA,Pb,I/SCN
FA/0.90,Cs/0.10,,Pb/1.0,,,I/0.9625,SCN/0.0377,,,spiro-OMeTAD,TiO2,0.871,21.2,11.1,FA/Cs,Pb,I/SCN
FA/0.85,Cs/0.15,,Pb/1.0,,,I/0.9625,SCN/0.0378,,,spiro-OMeTAD,TiO2,0.83,5,3.5,FA/Cs,Pb,I/SCN
FA/0.81,MA/0.15,,Pb/1.0,,,I/0.836,Br/0.15,,,spiro-OMeTAD,TiO2,1.13,22.2,16.1,FA/Cs,Pb,I/SCN
FA/0.81,MA/0.15,,Pb/1.0,,,I/0.836,Br/0.15,,,spiro-OMeTAD,TiO2,2.213,22.2,17.2,FA/MA,Pb,I/Br
MA/1,,,Pb/1,,,I/1,,,1.58,,,,,15.08,FA/MA,Pb,I/Br
MA/0.95,Cs/0.05,,Pb/1,,,I/0.95,Br/0.05,,1.62,,,,,15.7,MA,Pb,I
MA/0.9,Cs/0.1,,Pb/1,,,I/0.9,Br/0.1,,1.65,,,1.08,21.32,16.42,MA/Cs,Pb,I/Br
MA/0.8,Cs/0.2,,Pb/1,,,I/0.8,Br/0.2,,1.73,,,,,14.31,MA/Cs,Pb,I/Br
MA/0.9,FA/0.1,,Pb/1,,,I/0.9,Cl/0.1,,1.58,,,,,16.84,MA/Cs,Pb,I/Br
MA/0.85,FA/0.15,,Pb/1,,,I/0.9,Cl/0.1,,,,,,,17.41,MA/FA,Pb,I/Cl
MA/0.8,FA/0.2,,Pb/1,,,I/0.9,Cl/0.1,,1.58,,,22.1,1.11,18.14,MA/FA,Pb,I/Cl
MA/0.75,FA/0.25,,Pb/1,,,I/0.9,Cl/0.1,,,,,,,17.74,MA/FA,Pb,I/Cl
MA/0.7,FA/0.3,,Pb/1,,,I/0.9,Cl/0.1,,1.57,,,,,16.68,MA/FA,Pb,I/Cl
MA/0.6,FA/0.4,,Pb/1,,,I/0.9,Cl/0.1,,1.57,,,,,16.48,MA/FA,Pb,I/Cl
MA/0.5,FA/0.5,,Pb/1,,,I/0.9,Cl/0.1,,1.54,,,,,,MA/FA,Pb,I/Cl
MA/1,,,Pb/1,,,I/1,,,,Spiro-OMeTAD,mesoporous TiO2,0.854,10.8,5.46,MA/FA,Pb,I/Cl
MA/1,,,Pb/0.97,Sb/0.03,,I/0.98,Br/0.03,,,Spiro-OMeTAD,mesoporous TiO2,0.774,12.8,6.47,MA,Pb,I
MA/1,,,Pb/1,,,I/1,,,,PCBM,PEDOT:PSS,,,10.1,MA,Pb/Sb,I/Br
MA/0.95,HA/0.05,,Pb/1,,,I/1,,,,PCBM,PEDOT:PSS,,,10.3,MA,Pb,I
MA/0.9,HA/0.1,,Pb/1,,,I/1,,,,PCBM,PEDOT:PSS,0.927,16.9,11.6,MA/HA,Pb,I
MA/0.8,HA/0.2,,Pb/1,,,I/1,,,,PCBM,PEDOT:PSS,,,10,MA/HA,Pb,I
MA/0.7,HA/0.3,,Pb/1,,,I/1,,,,PCBM,PEDOT:PSS,,,7.2,MA/HA,Pb,I
MA/0.6,HA/0.4,,Pb/1,,,I/1,,,,PCBM,PEDOT:PSS,,,5.5,MA/HA,Pb,I
MA/0.5,HA/0.5,,Pb/1,,,I/1,,,,PCBM,PEDOT:PSS,,,1.9,MA/HA,Pb,I
