A_1,A_2,A_3,B_1,B_2,B_3,X_1,X_2,X_3,E_g,HTL,ETL,Voc(volts) ,Jsc,Max PCE
MA/1,,,Pb/1,,,I/1.0,,,,spiro-OMeTAD,TiO2,0.802,8.49,3.38
MA/0.95,Cs/0.05,,Pb/1,,,I/1.0,,,,spiro-OMeTAD,TiO2,0.862,13.5,6.59
MA/1.0,,,Pb/0.97,Sn/0.03,,I/2.94,Br/0.06,,,spiro-OMeTAD,TiO2,0.826,11.1,5.24
MA/1.0,,,Pb/0.95,Sn/0.05,,I/2.90,Br/0.10,,,spiro-OMeTAD,TiO2,0.904,14.1,7.59
MA/1.0,,,Pb/0.90,Sn/0.10,,I/2.80,Br/0.20,,,spiro-OMeTAD,TiO2,0.848,9.68,4.74
MA/0.95,Cs/0.05,,Pb/0.95,Sn/0.05,,I/2.90,Br/0.10,,,spiro-OMeTAD,TiO2,0.867,13,8.25
MA/0.90,Cs/0.10,,Pb/0.90,Sn/0.10,,I/2.80,Br/0.20,,,spiro-OMeTAD,TiO2,0.85,12.6,6.5
MA/0.95,Cs/0.05,,Pb/0.95,Sn/0.05,,I/2.85,Br/0.15,,,spiro-OMeTAD,TiO2,0.85,12.6,6.5
MA/0.90,Cs/0.10,,Pb/0.90,Sn/0.10,,I/2.70,Br/0.30,,,spiro-OMeTAD,TiO2,0.8,11.5,5.94
FA/0.89,MA/.11,,Pb/1.0,,,I/0.89,Br/0.11,,,spiro-OMeTAD,Nb-doped TiO2,1.018,23.4,17.8
FA/0.84,MA/0.16,,Pb/1.0,,,I/0.84,Br/0.16,,,spiro-OMeTAD,Nb-doped TiO2,1.044,23.2,18.3
FA/0.78,MA/0.22,,Pb/1.0,,,I/0.78,Br/0.22,,,spiro-OMeTAD,Nb-doped TiO2,1.004,23.6,17
FA/0.34,MA/0.66,,Pb/1.0,,,I/0.34,Br/0.66,,,spiro-OMeTAD,Nb-doped TiO2,0.972,22.3,15.9
FA/0.67,MA/0.33,,Pb/1.0,,,I/0.67,Br/0.33,,,spiro-OMeTAD,Nb-doped TiO2,0.96,22,14.9
MA/1.0,Cs/0.0,,Pb/1.0,,,I/1.0,Br/1.0,,,Spiro-OMeTAD,TiO2,1,22.6,14.5
