MA/FA,MA,Al/MA,FA/Cs,MA/Cs,FA,MA/HA,FA/Rb,Cs,MA/Ag,Pb,Pb/Sn,Pb/Sb,Pb/Co,Pb/Cu,Pb/Fe,Pb/Mg,Pb/Mn,Pb/Ni,Pb/Sr,Pb/Zn,Sn,Ge,I/Br,I,I/SCN,I/Cl,Br,PCE
,,,,,1,,,,,1,,,,,,,,,,,,,0.909,,,,,19.8
,,,,,1,,,,,1,,,,,,,,,,,,,0.862,,,,,20
,,,,,1,,,,,1,,,,,,,,,,,,,0.813,,,,,19.2
,,,,,1,,,,,1,,,,,,,,,,,,,0.729,,,,,12.2
,,,,,1,,,,,1,,,,,,,,,,,,,0.649,,,,,10.9
,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,15.8
,,0.00075,,,,,,,,1,,,,,,,,,,,,,,1,,,,16.4
,,0.0015,,,,,,,,1,,,,,,,,,,,,,,1,,,,18.2
,,0.003,,,,,,,,1,,,,,,,,,,,,,,1,,,,16.6
,,0.0075,,,,,,,,1,,,,,,,,,,,,,,1,,,,11.7
,,0.015,,,,,,,,1,,,,,,,,,,,,,,1,,,,6.7
,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,15.6
,1,,,,,,,,,1,,,,,,,,,,,,,0.97,,,,,16.31
,1,,,,,,,,,1,,,,,,,,,,,,,0.963,,,,,16.75
,1,,,,,,,,,1,,,,,,,,,,,,,0.953,,,,,18.02
,1,,,,,,,,,1,,,,,,,,,,,,,0.933,,,,,17.11
,1,,,,,,,,,1,,,,,,,,,,,,,0.667,,,,,3.83
,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,10.27
,1,,,,,,,,,,,,0.984,,,,,,,,,,,1,,,,11.37
,1,,,,,,,,,,,,0.969,,,,,,,,,,,1,,,,11.11
,1,,,,,,,,,,,,0.938,,,,,,,,,,,1,,,,10.21
,1,,,,,,,,,,,,0.875,,,,,,,,,,,1,,,,8.66
,1,,,,,,,,,,,,0.75,,,,,,,,,,,1,,,,4.14
,1,,,,,,,,,,,,,0.984,,,,,,,,,,1,,,,10.14
,1,,,,,,,,,,,,,0.969,,,,,,,,,,1,,,,8.37
,1,,,,,,,,,,,,,0.938,,,,,,,,,,1,,,,6.57
,1,,,,,,,,,,,,,0.875,,,,,,,,,,1,,,,5.46
,1,,,,,,,,,,,,,0.75,,,,,,,,,,1,,,,8.29
,1,,,,,,,,,,,,,,0.984,,,,,,,,,1,,,,1.78
,1,,,,,,,,,,,,,,0.969,,,,,,,,,1,,,,1.75
,1,,,,,,,,,,,,,,0.938,,,,,,,,,1,,,,2.29
,1,,,,,,,,,,,,,,0.875,,,,,,,,,1,,,,0.01
,1,,,,,,,,,,,,,,0.75,,,,,,,,,1,,,,0.22
,1,,,,,,,,,,,,,,,0.984,,,,,,,,1,,,,9.37
,1,,,,,,,,,,,,,,,0.969,,,,,,,,1,,,,9.71
,1,,,,,,,,,,,,,,,0.938,,,,,,,,1,,,,7.11
,1,,,,,,,,,,,,,,,0.875,,,,,,,,1,,,,1.74
,1,,,,,,,,,,,,,,,0.75,,,,,,,,1,,,,0.76
,1,,,,,,,,,,,,,,,,0.984,,,,,,,1,,,,10.38
,1,,,,,,,,,,,,,,,,0.969,,,,,,,1,,,,10.02
,1,,,,,,,,,,,,,,,,0.938,,,,,,,1,,,,7.17
,1,,,,,,,,,,,,,,,,0.875,,,,,,,1,,,,4.3
,1,,,,,,,,,,,,,,,,0.75,,,,,,,1,,,,0.68
,1,,,,,,,,,,,,,,,,,0.984,,,,,,1,,,,9.95
,1,,,,,,,,,,,,,,,,,0.969,,,,,,1,,,,8.53
,1,,,,,,,,,,,,,,,,,0.938,,,,,,1,,,,6.01
,1,,,,,,,,,,,,,,,,,0.875,,,,,,1,,,,0.06
,1,,,,,,,,,,,,,,,,,0.75,,,,,,1,,,,0.04
,1,,,,,,,,,,0.984,,,,,,,,,,,,,1,,,,2.32
,1,,,,,,,,,,0.969,,,,,,,,,,,,,1,,,,5.3
,1,,,,,,,,,,0.938,,,,,,,,,,,,,1,,,,2.38
,1,,,,,,,,,,0.875,,,,,,,,,,,,,1,,,,4.89
,1,,,,,,,,,,0.75,,,,,,,,,,,,,1,,,,9.25
,1,,,,,,,,,,,,,,,,,,0.984,,,,,1,,,,10.81
,1,,,,,,,,,,,,,,,,,,0.969,,,,,1,,,,9.29
,1,,,,,,,,,,,,,,,,,,0.938,,,,,1,,,,5.58
,1,,,,,,,,,,,,,,,,,,0.875,,,,,1,,,,1.16
,1,,,,,,,,,,,,,,,,,,0.75,,,,,1,,,,0.21
,1,,,,,,,,,,,,,,,,,,,0.984,,,,1,,,,10.62
,1,,,,,,,,,,,,,,,,,,,0.969,,,,1,,,,10.41
,1,,,,,,,,,,,,,,,,,,,0.938,,,,1,,,,7.69
,1,,,,,,,,,,,,,,,,,,,0.875,,,,1,,,,9.88
,1,,,,,,,,,,,,,,,,,,,0.75,,,,1,,,,6.04
,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,5.23
,1,,,,,,,,,,,,,,,,,,,,1,,0.667,,,,,5.48
,1,,,,,,,,,,,,,,,,,,,,1,,0.333,,,,,5.73
,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,4.27
,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,6.07
,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,0.11
,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,0.2
,,,,,1,,,,,1,,,,,,,,,,,,,0.6,,,,,5.8
,,,0.9,,,,,,,1,,,,,,,,,,,,,0.6,,,,,12.1
,,,0.875,,,,,,,1,,,,,,,,,,,,,0.6,,,,,11.8
,,,0.85,,,,,,,1,,,,,,,,,,,,,0.6,,,,,13
,,,0.83,,,,,,,1,,,,,,,,,,,,,0.6,,,,,14.7
,,,0.825,,,,,,,1,,,,,,,,,,,,,0.6,,,,,12.7
,,,0.8,,,,,,,1,,,,,,,,,,,,,0.6,,,,,10.5
,,,0.7,,,,,,,1,,,,,,,,,,,,,0.6,,,,,9.6
,,,0.6,,,,,,,1,,,,,,,,,,,,,0.6,,,,,8.9
,,,0.5,,,,,,,1,,,,,,,,,,,,,0.6,,,,,7.8
,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,10.4
,,,0.8,,,,,,,1,,,,,,,,,,,,,,1,,,,15.69
,,,0.8,,,,,,,1,,,,,,,,,,,,,0.947,,,,,17.35
,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,4.8
0.167,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,12.1
0.333,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,13.9
0.5,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,12.8
0.667,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,14.3
0.833,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,11.8
,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,10.3
,,,,,1,,,,,1,,,,,,,,,,,,,0.833,,,,,9.6
0.167,,,,,,,,,,1,,,,,,,,,,,,,0.833,,,,,17.4
0.333,,,,,,,,,,1,,,,,,,,,,,,,0.833,,,,,20.7
0.5,,,,,,,,,,1,,,,,,,,,,,,,0.833,,,,,12.9
0.667,,,,,,,,,,1,,,,,,,,,,,,,0.833,,,,,11
0.833,,,,,,,,,,1,,,,,,,,,,,,,0.833,,,,,16
,1,,,,,,,,,1,,,,,,,,,,,,,0.833,,,,,13.2
,,,,,1,,,,,1,,,,,,,,,,,,,0.667,,,,,1.9
0.167,,,,,,,,,,1,,,,,,,,,,,,,0.667,,,,,14.7
0.333,,,,,,,,,,1,,,,,,,,,,,,,0.667,,,,,18.5
0.5,,,,,,,,,,1,,,,,,,,,,,,,0.667,,,,,15.3
0.667,,,,,,,,,,1,,,,,,,,,,,,,0.667,,,,,17.5
0.833,,,,,,,,,,1,,,,,,,,,,,,,0.667,,,,,12.2
,1,,,,,,,,,1,,,,,,,,,,,,,0.667,,,,,8.5
,,,,,1,,,,,1,,,,,,,,,,,,,0.5,,,,,3.7
0.167,,,,,,,,,,1,,,,,,,,,,,,,0.5,,,,,11.4
0.333,,,,,,,,,,1,,,,,,,,,,,,,0.5,,,,,11.7
0.5,,,,,,,,,,1,,,,,,,,,,,,,0.5,,,,,11.9
0.667,,,,,,,,,,1,,,,,,,,,,,,,0.5,,,,,10.7
0.833,,,,,,,,,,1,,,,,,,,,,,,,0.5,,,,,8.7
,1,,,,,,,,,1,,,,,,,,,,,,,0.5,,,,,8.6
